iter	Logloss
0	0.6637641498
1	0.6378854064
2	0.6164198985
3	0.6041219784
4	0.5937151033
5	0.577022053
6	0.5696471442
7	0.5585275563
8	0.548120676
9	0.542992092
10	0.5361718942
11	0.5304915246
12	0.5244828098
13	0.5225255693
14	0.5197518084
15	0.5159328565
16	0.5126091972
17	0.5101993425
18	0.5083458216
19	0.5060399093
20	0.5037436791
21	0.5016862715
22	0.500694637
23	0.4997759331
24	0.4988503235
25	0.4974732335
26	0.4968130878
27	0.4962784226
28	0.4957130089
29	0.4945160469
30	0.4940977072
31	0.4932861264
32	0.4924752071
33	0.4918118091
34	0.4912636289
35	0.490890598
36	0.4905149885
37	0.4902069904
38	0.4897623546
39	0.4894750448
40	0.488975796
41	0.4886814688
42	0.4884940035
43	0.4880836261
44	0.4876695661
45	0.4872341402
46	0.4870258822
47	0.4868536694
48	0.4866835739
49	0.4863971577
50	0.4861795574
51	0.4860552488
52	0.4858939894
53	0.4857218218
54	0.4855431488
55	0.4854203861
56	0.4853323454
57	0.4852193664
58	0.485083778
59	0.4849324231
60	0.4848132079
61	0.4846406087
62	0.4845505895
63	0.4844541745
64	0.48434355
65	0.4841767325
66	0.4840978386
67	0.4840301575
68	0.4839533321
69	0.4838465759
70	0.4837878259
71	0.483737533
72	0.4836090143
73	0.4835663544
74	0.4834877902
75	0.4834390189
76	0.4833556059
77	0.4833142976
78	0.483262056
79	0.4831889428
80	0.4831113615
81	0.4830740654
82	0.4829888981
83	0.4829422385
84	0.4828793056
85	0.4828029777
86	0.482716307
87	0.482686307
88	0.4826416044
89	0.4826052317
90	0.482554857
91	0.4825116522
92	0.4824765623
93	0.48243819
94	0.4824032315
95	0.4823396876
96	0.482291802
97	0.4822531625
98	0.4822129563
99	0.4821759973
100	0.4821217006
101	0.4820877564
102	0.4820539543
103	0.4819970195
104	0.4819802863
105	0.4819471108
106	0.4819147636
107	0.4818824952
108	0.4818450449
109	0.4818096171
110	0.4817628371
111	0.4817074522
112	0.4816674372
113	0.4816225109
114	0.4815698248
115	0.4814978013
116	0.4814811928
117	0.4814346794
118	0.4813737218
119	0.4813400574
120	0.4813048682
121	0.4812752221
122	0.4812449764
123	0.481202782
124	0.4811602578
125	0.4811362073
126	0.4811065361
127	0.4810635503
128	0.4810095496
129	0.4809773012
130	0.4809348718
131	0.4809059056
132	0.4808869205
133	0.4808367368
134	0.480789301
135	0.4807569995
136	0.4807470944
137	0.4807203916
138	0.4806771539
139	0.4806554883
140	0.4805975478
141	0.4805619967
142	0.480505196
143	0.4804875309
144	0.4804591717
145	0.480405003
146	0.4803918777
147	0.4803406061
148	0.4803174098
149	0.480299122
150	0.4802719854
151	0.480244044
152	0.4802048816
153	0.4801817864
154	0.4801448192
155	0.4800762116
156	0.4800312213
157	0.4799921217
158	0.4799667516
159	0.4799311462
160	0.479898436
161	0.4798692971
162	0.479812624
163	0.4797867982
164	0.4797405351
165	0.479704431
166	0.4796740748
167	0.4796349478
168	0.4796099632
169	0.4795817948
170	0.4795449321
171	0.4795211942
172	0.4794961596
173	0.4794632757
174	0.4794206527
175	0.479370433
176	0.4793324848
177	0.4792920941
178	0.4792527936
179	0.4792105907
180	0.4791860368
181	0.4791304148
182	0.4791108688
183	0.4790569359
184	0.4790206821
185	0.4789869118
186	0.4789476301
187	0.4789095263
188	0.4788697398
189	0.4788180114
190	0.4788003209
191	0.4787660441
192	0.4787384016
193	0.478713903
194	0.4786852102
195	0.478639323
196	0.4786093234
197	0.4785878472
198	0.4785586885
199	0.4785376691
200	0.478506244
201	0.4784755429
202	0.4784285313
203	0.4783951962
204	0.4783456209
205	0.4783267567
