iter	Passed	Remaining
0	150	75192
1	158	39359
2	165	27419
3	173	21453
4	181	17925
5	188	15557
6	197	13924
7	205	12649
8	213	11665
9	221	10866
10	242	10772
11	249	10151
12	257	9628
13	264	9186
14	288	9331
15	296	8972
16	305	8683
17	315	8456
18	324	8210
19	340	8182
20	364	8306
21	373	8105
22	380	7893
23	389	7717
24	413	7854
25	422	7700
26	458	8024
27	479	8077
28	535	8697
29	543	8508
30	550	8323
31	557	8157
32	566	8016
33	574	7871
34	582	7744
35	590	7609
36	597	7476
37	604	7353
38	627	7413
39	635	7307
40	644	7212
41	652	7117
42	662	7039
43	671	6962
44	680	6879
45	689	6807
46	702	6767
47	713	6714
48	721	6638
49	734	6610
50	741	6530
51	749	6453
52	763	6439
53	770	6367
54	778	6301
55	793	6295
56	801	6225
57	825	6292
58	832	6225
59	855	6271
60	871	6268
61	878	6206
62	902	6262
63	911	6208
64	920	6162
65	930	6116
66	940	6075
67	952	6048
68	960	6001
69	968	5950
70	980	5921
71	1009	6001
72	1022	5983
73	1038	5980
74	1055	5979
75	1064	5936
76	1084	5957
77	1091	5907
78	1100	5865
79	1132	5943
80	1163	6019
81	1178	6007
82	1185	5957
83	1193	5910
84	1224	5977
85	1233	5937
86	1254	5953
87	1264	5920
88	1273	5881
89	1282	5840
90	1291	5803
91	1300	5768
92	1315	5756
93	1323	5715
94	1344	5730
95	1351	5688
96	1359	5649
97	1374	5639
98	1422	5762
99	1430	5720
100	1438	5682
101	1446	5643
102	1454	5607
103	1463	5571
104	1482	5577
105	1515	5631
106	1522	5593
107	1533	5566
108	1542	5532
109	1551	5499
110	1559	5465
111	1575	5458
112	1584	5425
113	1592	5392
114	1622	5431
115	1638	5424
116	1647	5391
117	1654	5356
118	1664	5328
119	1672	5296
120	1683	5272
121	1691	5241
122	1714	5254
123	1722	5221
124	1729	5187
125	1759	5222
126	1766	5189
127	1774	5156
128	1806	5195
129	1813	5161
130	1820	5129
131	1828	5096
132	1852	5110
133	1867	5101
134	1918	5186
135	1927	5159
136	1937	5132
137	1949	5112
138	1960	5091
139	1969	5065
140	1992	5073
141	2001	5046
142	2010	5019
143	2019	4993
144	2028	4965
145	2038	4941
146	2046	4913
147	2054	4885
148	2063	4861
149	2071	4833
150	2098	4849
151	2105	4820
152	2113	4792
153	2120	4764
154	2128	4736
155	2135	4709
156	2143	4682
157	2151	4656
158	2159	4631
159	2174	4621
160	2183	4597
161	2191	4573
162	2201	4550
163	2220	4548
164	2237	4542
165	2245	4517
166	2255	4496
167	2266	4478
168	2274	4455
169	2298	4462
170	2313	4450
171	2321	4426
172	2331	4406
173	2339	4383
174	2357	4379
175	2366	4355
176	2373	4331
177	2404	4348
178	2411	4324
179	2451	4358
180	2459	4333
181	2467	4311
182	2475	4287
183	2482	4263
184	2490	4240
185	2528	4268
186	2536	4245
187	2544	4222
188	2552	4199
189	2560	4177
190	2568	4154
191	2576	4133
192	2586	4113
193	2595	4093
194	2602	4071
195	2610	4049
196	2619	4029
197	2643	4031
198	2653	4014
199	2666	3999
200	2676	3982
201	2702	3986
202	2712	3968
203	2721	3948
204	2731	3930
205	2740	3911
206	2749	3891
207	2758	3871
208	2766	3851
209	2775	3832
210	2783	3811
211	2806	3812
212	2813	3791
213	2822	3771
214	2829	3751
215	2838	3731
216	2846	3711
217	2853	3691
218	2867	3679
219	2899	3690
220	2908	3671
221	2916	3652
222	2925	3633
223	2934	3615
224	2943	3597
225	2959	3588
226	2968	3570
227	2977	3552
228	2991	3540
229	3023	3549
230	3032	3531
231	3041	3513
232	3049	3494
233	3058	3476
234	3067	3459
235	3076	3441
236	3086	3425
237	3100	3413
238	3109	3395
239	3118	3378
240	3126	3360
241	3146	3354
242	3153	3335
243	3178	3335
244	3186	3317
245	3194	3298
246	3202	3280
247	3210	3262
248	3218	3244
249	3239	3239
250	3247	3221
251	3255	3203
252	3263	3185
253	3317	3213
254	3325	3195
255	3334	3178
256	3348	3166
257	3358	3150
258	3368	3134
259	3378	3118
260	3389	3103
261	3399	3088
262	3425	3087
263	3435	3071
264	3443	3053
265	3453	3038
266	3464	3023
267	3486	3017
268	3494	3000
269	3502	2983
270	3517	2972
